id,name,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,CrdY,CrdR
59,Marc Bartra,es ESP,DF,Betis,30,1991,23,23,1993,22.1,1,0,5,0
60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,6,2,197,2.2,0,0,1,0
61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,26,12,1179,13.1,0,0,4,0
62,Jon Bautista,es ESP,FWMF,Real Sociedad,26,1995,1,0,45,0.5,0,0,0,0
63,Bebé,cv CPV,FWMF,Rayo Vallecano,31,1990,29,6,867,9.6,1,2,2,0
64,Héctor Bellerín,es ESP,DF,Betis,26,1995,23,22,1979,22,0,2,2,1
65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,37,31,2597,28.9,1,0,4,0
66,Darío Benedetto,ar ARG,FW,Elche,31,1990,14,6,590,6.6,2,1,1,0
67,Iker Benito,es ESP,MFFW,Osasuna,18,2002,4,1,118,1.3,0,0,1,0
68,Pedro Benito,es ESP,FW,Cádiz,21,2000,1,0,31,0.3,0,0,0,0
69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,32,31,2593,28.8,27,12,0,0
70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,14,11,1015,11.3,1,2,3,0
71,Álex Berenguer,es ESP,MFFW,Athletic Club,26,1995,34,24,2168,24.1,3,6,8,0
72,Pedro Bigas,es ESP,DF,Elche,30,1990,19,19,1551,17.2,1,0,6,0
73,Blanco,es ESP,MF,Real Madrid,21,2000,1,0,31,0.3,0,0,0,0
74,Yassine Bounou,ma MAR,GK,Sevilla,30,1991,31,31,2790,31,0,2,2,0
75,Lucas Boyé,ar ARG,FW,Elche,25,1996,24,22,1713,19,7,3,3,0
76,Martin Braithwaite,dk DEN,FW,Barcelona,30,1991,4,3,235,2.6,2,1,0,0
77,Darko Brašanac,rs SRB,MF,Osasuna,29,1992,35,27,2405,26.7,1,2,8,0
78,Claudio Bravo,cl CHI,GK,Betis,38,1983,17,17,1456,16.2,0,0,2,0
79,Yan Brice Eteki,cm CMR,MF,Granada,23,1997,12,2,343,3.8,0,0,3,0
80,Bryan,es ESP,MFFW,Valencia,20,2001,13,9,753,8.4,0,1,3,0
81,Ante Budimir,hr CRO,FW,Osasuna,30,1991,28,20,1738,19.3,8,2,3,0
82,Sergio Busquets,es ESP,MF,Barcelona,33,1988,36,36,3198,35.5,2,0,12,0
83,Adrián Butzke,es ESP,FW,Granada,22,1999,1,0,1,0,0,0,0,0
84,Erick Cabaco,uy URU,DF,Getafe,26,1995,10,5,403,4.5,0,1,4,1
85,Leandro Cabrera,uy URU,DF,Espanyol,30,1991,37,37,3330,37,2,0,7,0
86,Martín Cáceres,uy URU,DF,Levante,34,1987,10,9,663,7.4,0,0,2,0
87,Cala,es ESP,DF,Cádiz,31,1989,14,10,947,10.5,0,0,8,1
88,Calderón,es ESP,DF,Betis,21,2000,1,0,65,0.7,0,0,0,0
89,Fernando Calero,es ESP,DF,Espanyol,25,1995,16,13,1090,12.1,0,0,3,0
90,Víctor Camarasa,es ESP,MFFW,Betis,27,1994,7,0,108,1.2,0,0,0,0
91,Eduardo Camavinga,fr FRA,MF,Real Madrid,18,2002,26,13,1236,13.7,2,1,8,0
92,José Campaña,es ESP,MF,Levante,28,1993,20,16,1422,15.8,2,2,6,1
93,Sergio Canales,es ESP,FWMF,Betis,30,1991,34,33,2791,31,5,8,6,0
94,Álex Cantero,es ESP,FWMF,Levante,21,2000,25,4,610,6.8,0,1,1,0
95,Ander Capa,es ESP,DF,Athletic Club,29,1992,1,0,4,0,0,0,0,0
96,Étienne Capoue,fr FRA,MF,Villarreal,33,1988,30,26,2290,25.4,1,1,9,0
97,Isaac Carcelen,es ESP,DFMF,Cádiz,28,1993,25,17,1544,17.2,0,1,2,0
98,Cárdenas,es ESP,GK,Levante,24,1997,24,24,2160,24,0,0,3,0
99,Carlo,es ESP,MF,Villarreal,20,2001,1,0,7,0.1,0,0,0,0
100,Diego Carlos,br BRA,DF,Sevilla,28,1993,34,34,2957,32.9,3,0,4,1
101,Carmona,es ESP,DF,Sevilla,19,2002,1,0,24,0.3,0,0,0,0
102,Yannick Carrasco,be BEL,DFMF,Atlético Madrid,27,1993,34,28,2583,28.7,6,6,5,0
103,Guido Carrillo,ar ARG,FW,Elche,30,1991,29,11,1168,13,2,0,3,0
104,Dani Carvajal,es ESP,DF,Real Madrid,29,1992,24,17,1551,17.2,1,3,1,0
105,William Carvalho,pt POR,MF,Betis,29,1992,33,20,1805,20.1,2,3,6,0
106,Casemiro,br BRA,MF,Real Madrid,29,1992,32,31,2569,28.5,1,3,11,0
107,Kiko Casilla,es ESP,GK,Elche,34,1986,14,14,1260,14,0,0,3,0
108,Catena,es ESP,DF,Rayo Vallecano,26,1994,36,36,3240,36,2,2,8,0
109,Dani Ceballos,es ESP,MF,Real Madrid,24,1996,11,2,276,3.1,0,0,1,0
110,Franco Cervi,ar ARG,MF,Celta Vigo,27,1994,33,21,1801,20,4,3,5,0
111,Chapela,es ESP,MFFW,Cádiz,22,1999,9,4,398,4.4,0,0,0,0
112,Chema,es ESP,MF,Getafe,29,1992,1,1,45,0.5,0,0,1,1
113,Denis Cheryshev,ru RUS,MF,Valencia,30,1990,17,5,563,6.3,0,1,1,0
114,Samuel Chukwueze,ng NGA,MFFW,Villarreal,22,1999,27,12,1333,14.8,3,3,4,0
115,Víctor Chust,es ESP,DF,Cádiz,21,2000,25,20,1830,20.3,0,0,2,0
116,Jasper Cillessen,nl NED,GK,Valencia,32,1989,17,17,1457,16.2,0,1,1,0
117,Pathé Ciss,sn SEN,MF,Rayo Vallecano,27,1994,31,11,1097,12.2,2,1,5,0
118,Carlos Clerc,es ESP,DF,Levante,29,1992,19,18,1514,16.8,0,0,6,0
119,Coke,es ESP,DF,Levante,34,1987,6,1,118,1.3,1,0,1,0
120,Álex Collado,es ESP,MFFW,Granada,22,1999,17,13,1020,11.3,2,1,1,0
121,Eray Cömert,ch SUI,DF,Valencia,23,1998,8,5,408,4.5,0,0,2,0
122,Santi Comesaña,es ESP,MF,Rayo Vallecano,24,1996,35,32,2682,29.8,1,2,12,1
123,Diego Conde,es ESP,GK,Getafe,22,1998,1,0,6,0.1,0,0,0,0
124,Francis Coquelin,fr FRA,MF,Villarreal,30,1991,20,8,830,9.2,2,1,3,0
125,Jesús Corona,mx MEX,FWDF,Sevilla,28,1993,18,12,1157,12.9,2,4,2,0
126,Ángel Correa,ar ARG,FWMF,Atlético Madrid,26,1995,36,21,1856,20.6,12,5,3,1
127,Thierry Correia,pt POR,DF,Valencia,22,1999,19,18,1414,15.7,0,1,5,0
128,Hélder Costa,ao ANG,MFFW,Valencia,27,1994,22,13,1118,12.4,0,1,3,0
129,Jaume Costa,es ESP,DF,Mallorca,33,1988,25,21,1828,20.3,0,4,5,1
130,Thibaut Courtois,be BEL,GK,Real Madrid,29,1992,36,36,3240,36,0,0,1,0
131,Philippe Coutinho,br BRA,MFFW,Barcelona,29,1992,12,5,503,5.6,2,0,1,0
132,Cristo,es ESP,DF,Real Sociedad,21,2000,1,0,17,0.2,0,0,0,0
133,Juan Cruz Armada,es ESP,DF,Osasuna,29,1992,23,22,1934,21.5,0,0,4,0
134,Marc Cucurella,es ESP,FWDF,Getafe,23,1998,1,0,23,0.3,0,0,0,0
135,Jorge Cuenca,es ESP,DF,Getafe,21,1999,32,31,2683,29.8,1,0,6,2
136,Matheus Cunha,br BRA,FW,Atlético Madrid,22,1999,29,8,1063,11.8,6,4,3,0
137,Sergi Darder,es ESP,MF,Espanyol,27,1993,36,36,3125,34.7,3,9,4,0
138,Rodrigo De Paul,ar ARG,MF,Atlético Madrid,27,1994,36,24,2151,23.9,3,1,7,0
139,Thomas Delaney,dk DEN,MF,Sevilla,29,1991,26,15,1549,17.2,2,1,4,1
140,Ousmane Dembélé,fr FRA,FW,Barcelona,24,1997,21,15,1409,15.7,1,13,3,0
141,Yusuf Demir,at AUT,FW,Barcelona,18,2003,6,2,192,2.1,0,0,0,0
142,Memphis Depay,nl NED,FW,Barcelona,27,1994,28,20,1851,20.6,12,2,3,0
143,Sergiño Dest,us USA,DFFW,Barcelona,20,2000,21,17,1512,16.8,0,3,2,0
144,Boulaye Dia,sn SEN,FW,Villarreal,24,1996,25,13,1269,14.1,5,5,3,0
145,Mouctar Diakhaby,gn GUI,DF,Valencia,24,1996,29,21,1948,21.6,0,1,11,0
146,Javier Díaz,es ESP,GK,Sevilla,24,1997,1,1,90,1,0,0,0,0
147,Víctor Díaz,es ESP,DF,Granada,33,1988,22,18,1500,16.7,1,0,5,0
148,Landry Dimata,be BEL,FWMF,Espanyol,23,1997,17,4,541,6,0,0,0,0
149,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,27,1993,31,30,2772,30.8,0,0,0,0
150,Matías Dituro,ar ARG,GK,Celta Vigo,34,1987,38,38,3420,38,0,0,1,0
151,Djené,tg TOG,DF,Getafe,29,1991,35,35,3115,34.6,0,1,11,1
152,Naïs Djouahra,fr FRA,FWMF,Real Sociedad,21,1999,7,1,219,2.4,0,0,0,0
153,Marko Dmitrović,rs SRB,GK,Sevilla,29,1992,6,6,540,6,0,0,0,0
154,Jaume Doménech,es ESP,GK,Valencia,30,1990,4,3,343,3.8,0,0,1,0
155,Carlos Dominguez,es ESP,DF,Celta Vigo,20,2001,8,3,344,3.8,0,0,1,0
156,Mario Dominguez,es ESP,FW,Valencia,17,2004,2,0,25,0.3,0,0,0,0
157,John Donald,es ESP,DF,Elche,20,2000,2,2,180,2,0,0,0,0
158,Domingos Duarte,pt POR,DF,Granada,26,1995,21,19,1687,18.7,1,0,7,1
159,Óscar Duarte,cr CRC,DF,Levante,32,1989,23,20,1773,19.7,2,0,5,0
160,Rubén Duarte,es ESP,DF,Alavés,25,1995,34,31,2621,29.1,0,4,12,1
161,Unai Dufur,es ESP,DF,Osasuna,22,1999,1,1,90,1,0,0,0,0
162,Hugo Duro,es ESP,FWMF,Valencia,21,1999,30,22,1834,20.4,7,1,3,1
163,Hugo Duro,es ESP,DFMF,Getafe,21,1999,1,0,12,0.1,0,0,0,0
164,Aritz Elustondo,es ESP,DF,Real Sociedad,27,1994,30,22,2105,23.4,4,1,3,1
165,Adri Embarba,es ESP,FWMF,Espanyol,29,1992,32,24,1986,22.1,0,2,4,0
166,Emerson,br BRA,DF,Barcelona,22,1999,3,1,91,1,0,0,0,0
167,Youssef En-Nesyri,ma MAR,FW,Sevilla,24,1997,23,15,1277,14.2,5,1,1,0
168,Gonzalo Escalante,ar ARG,MF,Alavés,28,1993,17,15,1300,14.4,5,0,8,1
169,Aarón Escandell,es ESP,GK,Granada,25,1995,4,3,284,3.2,0,0,1,1
170,Sergio Escudero,es ESP,DFMF,Granada,31,1989,27,15,1434,15.9,2,1,6,0
171,Alfonso Espino,uy URU,DF,Cádiz,29,1992,37,37,3329,37,2,2,6,0
172,Estanis,es ESP,FW,Barcelona,17,2003,1,0,11,0.1,0,0,0,0
173,Pervis Estupiñán,ec ECU,DF,Villarreal,23,1998,28,17,1575,17.5,0,1,3,0
174,Abdessamad Ezzalzouli,ma MAR,FWDF,Barcelona,19,2001,10,6,580,6.4,1,0,4,0
175,Radamel Falcao,co COL,FW,Rayo Vallecano,35,1986,22,8,838,9.3,6,0,1,0
176,Fali,es ESP,DFMF,Cádiz,27,1993,28,23,1803,20,0,2,6,0
177,Omar Faraj,se SWE,FW,Levante,19,2002,1,0,4,0,0,0,0,0
178,Ansu Fati,es ESP,FW,Barcelona,18,2002,10,3,336,3.7,4,0,0,0
179,Aleix Febas,es ESP,MF,Mallorca,25,1996,4,1,117,1.3,0,0,1,0
180,Nabil Fekir,fr FRA,MF,Betis,28,1993,34,33,2794,31,6,8,7,1
181,Felipe,br BRA,DF,Atlético Madrid,32,1989,26,15,1504,16.7,2,1,5,1
182,João Félix,pt POR,FWMF,Atlético Madrid,21,1999,24,13,1263,14,8,4,3,1
183,Aitor Fernández,es ESP,GK,Levante,30,1991,13,13,1166,13,0,0,1,1
184,Álex Fernández,es ESP,MF,Cádiz,28,1992,32,22,2051,22.8,3,2,2,0
185,Fernando,br BRA,MFDF,Sevilla,34,1987,24,21,1850,20.6,1,1,6,0
186,Fidel,es ESP,MFFW,Elche,31,1989,33,29,2261,25.1,5,6,9,0
187,José Fontán,es ESP,DF,Celta Vigo,21,2000,9,3,276,3.1,0,0,3,0
188,Dimitri Foulquier,fr FRA,DF,Valencia,28,1993,29,25,2342,26,0,1,11,0
189,Dimitri Foulquier,fr FRA,DF,Granada,28,1993,2,2,180,2,0,0,0,0
190,Juan Foyth,ar ARG,DF,Villarreal,23,1998,25,22,1924,21.4,1,1,6,1
191,Enric Franquesa,es ESP,DF,Levante,24,1997,16,6,625,6.9,0,0,1,0
192,Jorge de Frutos,es ESP,MFFW,Levante,24,1997,25,20,1760,19.6,4,7,4,0
193,Javi Galán,es ESP,DF,Celta Vigo,26,1994,37,37,3298,36.6,0,3,8,0
194,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,27,1993,22,17,1378,15.3,0,0,4,0
195,Thiago Galhardo,br BRA,FWMF,Celta Vigo,32,1989,31,9,1148,12.8,2,2,5,0
196,Álvaro García,es ESP,FW,Rayo Vallecano,28,1992,36,34,2998,33.3,7,4,6,0
197,Dani García,es ESP,MF,Athletic Club,31,1990,32,27,2177,24.2,0,0,9,0
198,David García,es ESP,DF,Osasuna,27,1994,35,35,3105,34.5,4,0,8,0
199,Eric García,es ESP,DF,Barcelona,20,2001,26,23,2039,22.7,0,0,5,1
200,Francisco Garcia,es ESP,DF,Rayo Vallecano,21,1999,34,34,3025,33.6,1,0,4,0
201,Joan García,es ESP,GK,Espanyol,20,2001,2,1,108,1.2,0,0,0,0
202,Manu García,es ESP,MF,Alavés,23,1998,24,10,1077,12,0,1,3,0
203,Raúl García,es ESP,FW,Athletic Club,35,1986,35,24,1802,20,6,2,3,0
204,Rubén García,es ESP,FWMF,Osasuna,28,1993,37,30,2375,26.4,1,6,1,0
205,Saúl García,es ESP,FW,Alavés,26,1994,1,0,4,0,0,0,0,0
206,Unai García,es ESP,DF,Osasuna,29,1992,18,15,1408,15.6,0,0,5,0
207,Mario Gaspar,es ESP,DF,Villarreal,30,1990,12,7,623,6.9,0,0,1,0
208,Óscar Gil,es ESP,DF,Espanyol,23,1998,22,20,1688,18.8,0,2,7,0
209,Mario Gila,es ESP,DF,Real Madrid,20,2000,2,0,25,0.3,0,0,0,0
210,Dani Gómez,es ESP,FW,Levante,23,1998,28,11,1063,11.8,4,2,1,0
211,Maxi Gómez,uy URU,FW,Valencia,24,1996,29,21,1956,21.7,5,1,7,1
212,Moi Gómez,es ESP,MFFW,Villarreal,27,1994,29,13,1286,14.3,2,2,2,0
213,Papu Gómez,ar ARG,MFFW,Sevilla,33,1988,29,19,1784,19.8,5,1,4,0
214,Sergi Gómez,es ESP,DF,Espanyol,29,1992,31,31,2720,30.2,1,2,1,1
215,Maxime Gonalons,fr FRA,MF,Granada,32,1989,25,20,1550,17.2,0,2,6,0
216,Diego González,es ESP,DF,Elche,26,1995,28,19,1793,19.9,0,0,3,1
217,Édgar González,es ESP,DF,Betis,24,1997,21,14,1464,16.3,1,1,6,0
218,Giovanni González,uy URU,DF,Mallorca,26,1994,9,3,365,4.1,1,0,1,0
219,Nicolás González,es ESP,MF,Barcelona,19,2002,27,12,1114,12.4,2,1,6,0
220,Peter González,do DOM,MFDF,Real Madrid,19,2002,3,0,27,0.3,0,0,0,0
221,Roberto González,es ESP,FWMF,Betis,20,2001,4,1,135,1.5,0,0,0,0
222,Gori,es ESP,MF,Espanyol,19,2002,1,0,9,0.1,0,0,1,0
223,Andoni Gorosabel,es ESP,DF,Real Sociedad,24,1996,32,25,2289,25.4,0,4,4,0
224,Jaume Grau,es ESP,MF,Osasuna,24,1997,1,0,3,0,0,0,0,0
225,Dominik Greif,sk SVK,GK,Mallorca,24,1997,1,1,90,1,0,0,0,0
226,Clément Grenier,fr FRA,MF,Mallorca,30,1991,5,0,60,0.7,1,0,1,0
227,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,30,1991,26,21,1695,18.8,3,4,3,0
228,Antoine Griezmann,fr FRA,FW,Barcelona,30,1991,3,3,263,2.9,0,0,0,0
229,Arnaut Groeneveld,nl NED,FW,Villarreal,24,1997,23,17,1472,16.4,10,3,1,0
230,Andrés Guardado,mx MEX,MF,Betis,34,1986,28,17,1393,15.5,0,1,4,0
231,Sergi Guardiola,es ESP,FW,Rayo Vallecano,30,1991,32,20,1710,19,8,2,3,0
232,Nemanja Gudelj,rs SRB,MFDF,Sevilla,29,1991,21,9,1046,11.6,0,0,5,0
233,Gonçalo Guedes,pt POR,FWMF,Valencia,24,1996,36,30,2606,29,11,6,3,0
234,Ander Guevara,es ESP,MF,Real Sociedad,24,1997,17,11,867,9.6,0,0,2,0
235,John Guidetti,se SWE,FWMF,Alavés,29,1992,10,2,279,3.1,0,0,2,0
236,Hugo Guillamón,es ESP,MFDF,Valencia,21,2000,31,28,2361,26.2,1,0,11,2
237,Gerard Gumbau,es ESP,MF,Elche,26,1994,31,20,1890,21,0,4,8,1
238,Jon Guridi,es ESP,MF,Real Sociedad,26,1995,8,1,206,2.3,1,0,0,0
239,Raúl Guti,es ESP,MF,Elche,24,1996,31,17,1627,18.1,0,0,4,1
240,Marcos Mauro López Gutiérrez,ar ARG,DF,Cádiz,30,1991,3,1,136,1.5,0,0,1,0
241,Miguel Gutiérrez,es ESP,DF,Real Madrid,20,2001,3,3,260,2.9,0,1,1,0
242,Munir El Haddadi,ma MAR,FWMF,Sevilla,25,1995,16,4,474,5.3,2,0,3,0
243,Varazdat Haroyan,am ARM,DF,Cádiz,28,1992,17,16,1437,16,1,0,9,0
244,Eden Hazard,be BEL,FWMF,Real Madrid,30,1991,18,7,717,8,0,1,3,0
245,Kike Hermoso,es ESP,DF,Betis,21,1999,1,1,90,1,1,0,0,0
246,Mario Hermoso,es ESP,DF,Atlético Madrid,26,1995,26,21,1865,20.7,2,1,6,1
247,Aridane Hernández,gq EQG,DF,Osasuna,32,1989,15,12,1159,12.9,0,0,1,0
248,Luis Hernández,es ESP,DF,Cádiz,32,1989,16,15,1366,15.2,0,0,5,0
249,Mario Hernández,es ESP,DFFW,Rayo Vallecano,22,1999,9,5,395,4.4,1,0,3,0
250,Héctor Herrera,mx MEX,MF,Atlético Madrid,31,1990,21,8,859,9.5,0,0,4,0
251,Sergio Herrera,es ESP,GK,Osasuna,28,1993,36,36,3240,36,0,0,3,0
252,Yangel Herrera,ve VEN,MF,Espanyol,23,1998,23,19,1645,18.3,1,1,7,1
253,Matthew Hoppe,us USA,FW,Mallorca,20,2001,5,1,131,1.5,0,1,0,0
254,Robert Ibáñez,es ESP,MF,Osasuna,28,1993,4,1,93,1,0,0,0,0
255,Vicente Iborra,es ESP,MF,Villarreal,33,1988,20,12,1034,11.5,0,1,4,0
256,Oussama Idrissi,ma MAR,FWMF,Sevilla,25,1996,5,2,127,1.4,0,0,1,0
257,Oussama Idrissi,ma MAR,MF,Cádiz,25,1996,12,11,902,10,1,1,2,0
258,Iglesias,es ESP,DF,Getafe,23,1998,20,7,719,8,0,1,1,0
259,Borja Iglesias,es ESP,FW,Betis,28,1993,33,18,1573,17.5,10,0,4,0
260,Asier Illarramendi,es ESP,MF,Real Sociedad,31,1990,8,6,374,4.2,0,0,1,0
261,Nikita Iosifov,ru RUS,MF,Villarreal,20,2001,1,0,1,0,0,0,0,0
262,Alexander Isak,se SWE,FW,Real Sociedad,21,1999,32,26,2140,23.8,6,2,6,0
263,Isco,es ESP,MFFW,Real Madrid,29,1992,14,3,331,3.7,1,0,1,0
264,Nicolas Jackson,sn SEN,FW,Villarreal,20,2001,9,0,165,1.8,0,0,1,0
265,Jakub Jankto,cz CZE,DFMF,Getafe,25,1996,14,6,587,6.5,0,2,1,1
266,Adnan Januzaj,be BEL,FWMF,Real Sociedad,26,1995,33,17,1625,18.1,3,0,5,0
267,Jason,es ESP,MFFW,Alavés,27,1994,14,10,678,7.5,0,1,1,0
268,Jason,es ESP,MFDF,Valencia,27,1994,5,1,75,0.8,0,0,2,0
269,Luis Javier Suárez,co COL,FW,Granada,23,1997,37,34,2844,31.6,8,4,6,0
270,Álvaro Jiménez,es ESP,MFFW,Cádiz,26,1995,9,1,234,2.6,0,0,0,0
271,Joaquín,es ESP,FWMF,Betis,40,1981,21,2,471,5.2,0,1,0,0
272,Jofre,es ESP,MFDF,Espanyol,20,2001,3,0,20,0.2,0,1,0,0
273,Frenkie de Jong,nl NED,MF,Barcelona,24,1997,32,30,2476,27.5,3,3,7,1
274,Luuk de Jong,nl NED,FW,Barcelona,30,1990,21,6,654,7.3,6,0,1,0
275,Jens Jønsson,dk DEN,MF,Cádiz,28,1993,22,17,1303,14.5,0,1,3,0
276,Joan Jordán,es ESP,MF,Sevilla,27,1994,36,31,2514,27.9,0,1,9,0
277,Josan,es ESP,DFMF,Elche,31,1989,31,10,1211,13.5,2,3,2,0
278,Willian José,br BRA,FW,Betis,29,1991,32,19,1604,17.8,9,4,2,0
279,Joselu,es ESP,FW,Alavés,31,1990,37,35,3122,34.7,14,4,0,0
280,Josema,es ESP,DF,Elche,25,1996,6,1,183,2,0,0,0,0
281,Luka Jović,rs SRB,FW,Real Madrid,23,1997,15,1,369,4.1,1,3,1,0
282,Miguel Juan Llambrich,es ESP,DF,Espanyol,25,1996,2,1,70,0.8,0,0,0,0
283,José Juan Macías,mx MEX,FWMF,Getafe,21,1999,7,2,201,2.2,0,0,1,0
284,Juanmi,es ESP,FW,Betis,28,1993,33,26,2131,23.7,16,4,5,0
285,Lago Junior,ci CIV,FWMF,Mallorca,30,1990,6,1,177,2,0,0,0,0
286,Vinicius Júnior,br BRA,FW,Real Madrid,21,2000,35,30,2690,29.9,17,10,6,0
287,Jutglà,es ESP,FW,Barcelona,22,1999,6,4,301,3.3,1,0,1,0
